filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,4_anomaly,4_cluster,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,5_anomaly,5_cluster,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,1_anomaly,1_cluster,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,2_anomaly,2_cluster,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,3_anomaly,3_cluster,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,6_anomaly,6_cluster,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,7_anomaly,7_cluster,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,8_anomaly,8_cluster,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,9_anomaly,9_cluster,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,10_anomaly,10_cluster,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,11_anomaly,11_cluster,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,13_anomaly,13_cluster,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,14_anomaly,14_cluster,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl
1017547.js,0.0,0,27.0,2.0,0.07407407407407407,-0.07407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018183.js,0.0,0,333.0,3.0,0.009009009009009009,-0.009009009009009009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020314.js,0.0,0,118.0,1.5,0.012711864406779662,-0.012711864406779662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025150.js,0.0,0,250.0,3.5,0.014,-0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026615.js,0.0,0,29.0,0.5,0.017241379310344827,-0.017241379310344827,0.0,4.0,29.0,0.5,0.017241379310344827,-0.017241379310344827,0.0,5.0,59.0,0.25,0.00423728813559322,-0.00423728813559322,0.0,1.0,86.0,0.75,0.00872093023255814,-0.00872093023255814,0.0,2.0,86.0,0.75,0.00872093023255814,-0.00872093023255814,0.0,3.0,25.0,0.5,0.02,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027092.js,0.0,0,359.0,2.5,0.006963788300835654,-0.006963788300835654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032494.js,0.0,0,281.0,1.75,0.006227758007117438,-0.006227758007117438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034768.js,0.0,0,69.0,1.25,0.018115942028985508,-0.018115942028985508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040048.js,0.0,0,284.0,2.75,0.009683098591549295,-0.009683098591549295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044434.js,0.0,0,102.0,3.0,0.029411764705882353,-0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049661.js,0.0,0,11.0,1.25,0.11363636363636363,-0.11363636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055093.js,0.0,0,51.0,0.75,0.014705882352941176,-0.014705882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055262.js,0.0,0,336.0,2.5,0.00744047619047619,-0.00744047619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059731.js,0.0,0,307.0,1.5,0.004885993485342019,-0.004885993485342019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064265.js,0.0,0,15.0,2.0,0.13333333333333333,-0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085956.js,0.0,0,128.0,2.25,0.017578125,-0.017578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092996.js,0.0,0,343.0,2.0,0.0058309037900874635,-0.0058309037900874635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159346.js,0.0,0,317.0,3.75,0.011829652996845425,-0.011829652996845425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169150.js,0.0,0,195.0,1.25,0.00641025641025641,-0.00641025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169299.js,0.0,0,310.0,1.5,0.004838709677419355,-0.004838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208807.js,0.0,0,317.0,2.5,0.007886435331230283,-0.007886435331230283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230176.js,0.0,0,244.0,1.5,0.006147540983606557,-0.006147540983606557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231244.js,0.0,0,9.0,1.25,0.1388888888888889,-0.1388888888888889,,,,,,,,,,,,,0.0,1.0,8.0,1.25,0.15625,-0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238382.js,0.0,0,199.0,1.5,0.007537688442211055,-0.007537688442211055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244284.js,0.0,0,36.0,0.25,0.006944444444444444,-0.006944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275278.js,0.0,0,253.0,3.0,0.011857707509881422,-0.011857707509881422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276920.js,0.0,0,214.0,1.25,0.005841121495327103,-0.005841121495327103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283695.js,0.0,0,122.0,1.25,0.010245901639344262,-0.010245901639344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286123.js,0.0,0,34.0,1.5,0.04411764705882353,-0.04411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293991.js,0.0,0,,,,,0.0,4.0,46.0,1.0,0.021739130434782608,-0.021739130434782608,0.0,5.0,9.0,0.0,0.0,-0.0,0.0,1.0,5.0,0.5,0.1,-0.1,0.0,2.0,11.0,0.75,0.06818181818181818,-0.06818181818181818,0.0,3.0,,,,,0.0,6.0,19.0,0.5,0.02631578947368421,-0.02631578947368421,0.0,7.0,9.0,0.5,0.05555555555555555,-0.05555555555555555,0.0,8.0,26.0,0.5,0.019230769230769232,-0.019230769230769232,0.0,9.0,6.0,0.75,0.125,-0.125,0.0,10.0,11.0,0.5,0.045454545454545456,-0.045454545454545456,0.0,12.0,,,,,0.0,11.0,14.0,0.5,0.03571428571428571,-0.03571428571428571,0.0,13.0,5.0,0.0,0.0,-0.0,0.0,14.0,14.0,0.25,0.017857142857142856,-0.017857142857142856
3360562.js,0.0,0,21.0,0.25,0.011904761904761904,-0.011904761904761904,0.0,4.0,9.0,0.5,0.05555555555555555,-0.05555555555555555,0.0,5.0,7.0,0.75,0.10714285714285714,-0.10714285714285714,0.0,1.0,,,,,0.0,2.0,23.0,0.5,0.021739130434782608,-0.021739130434782608,0.0,3.0,24.0,0.25,0.010416666666666666,-0.010416666666666666,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3404031.js,0.0,0,92.0,1.75,0.019021739130434784,-0.019021739130434784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
